"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1570","Checking visibility of price estimator on login page","webkit","2026-03-25","passed","2026-03-25","","loginModule.spec.js","",""
"","534","Verify contact page UI loads","chromium","2026-03-30","passed","2026-03-30","","estimator.spec.js","",""
"","1317","Verify session persists after reload","chromium","2026-03-30","passed","2026-03-30","","messgaes.spec.js","",""
"","1230","Verify logout from orders page","chromium","2026-03-30","passed","2026-03-30","","orders.spec.js","",""
"","3074","Enter all valid details but age should be below 20","firefox","2026-03-25","passed","2026-03-25","","register.spec.js","",""
"","1720","Verify orders page loads","chromium","2026-03-30","passed","2026-03-30","","orders.spec.js","",""
"","1294","Verify responsive view (mobile)","chromium","2026-03-30","passed","2026-03-30","","orders.spec.js","",""
"","587","Verify estimator page UI loads","chromium","2026-03-30","passed","2026-03-30","","estimator.spec.js","",""
"","344","Conforming the current page is register page","chromium","2026-03-30","passed","2026-03-30","","register.spec.js","",""
"","848","has title","webkit","2026-03-25","passed","2026-03-25","","example.spec.js","",""
"","1295","Verify validation when brand, model, year, and price are provided","chromium","2026-03-30","passed","2026-03-30","","sell.spec.js","",""
"","1757","checking for Active Chats functional block","chromium","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","1263","Verify no console errors (basic)","chromium","2026-03-30","passed","2026-03-30","","orders.spec.js","",""
"","5405","checking Homepage Mylisting functional block","webkit","2026-03-25","passed","2026-03-25","","dashboard.spec.js","",""
"","5106","checking for the functionality of second View all which navigates orders page","webkit","2026-03-25","passed","2026-03-25","","dashboard.spec.js","",""
"","6","login and save state","chromium","2026-03-24","failed","2026-03-24","","auth.setup.spec.js","",""
"","2995","Verify listings page loads","chromium","2026-03-30","passed","2026-03-30","","browsebike.spec.js","",""
"","5836","checking for myorders functional block","webkit","2026-03-25","passed","2026-03-25","","dashboard.spec.js","",""
"","575","Verify no crash on estimator page","chromium","2026-03-30","passed","2026-03-30","","estimator.spec.js","",""
"","2008","trying to register with only fullname","firefox","2026-03-25","passed","2026-03-25","","register.spec.js","",""
"","5","login and save state","webkit","2026-03-24","failed","2026-03-24","","auth.setup.spec.js","",""
"","1084","has title","webkit","2026-03-25","passed","2026-03-25","","loginModule.spec.js","",""
"","2871","signup button is visible","firefox","2026-03-25","passed","2026-03-25","","loginModule.spec.js","",""
"","5747","listing a bike with discription and url","chromium","2026-03-25","passed","2026-03-25","","sell.spec.js","",""
"","4051","checking logout button functionality","firefox","2026-03-25","passed","2026-03-25","","dashboard.spec.js","",""
"","4990","checking for the second sell bike button","webkit","2026-03-25","passed","2026-03-25","","dashboard.spec.js","",""
"","0","Asserting the bike value when we hit the estimator button","chromium","2026-03-25","skipped","2026-03-25","","sell.spec.js","",""
"","767","API payment processing with invalid card details shows error","chromium","2026-03-30","passed","2026-03-30","","payment-api.spec.js","",""
"","849","fullname with special characters","chromium","2026-03-30","passed","2026-03-30","","register.spec.js","",""
"","4033","navigating to sell browser","chromium","2026-03-24","passed","2026-03-24","","browse.spec.js","",""
"","1287","Verify direct URL navigation works","chromium","2026-03-30","passed","2026-03-30","","orders.spec.js","",""
"","0","listing a bike without discription","chromium","2026-03-25","skipped","2026-03-25","","sell.spec.js","",""
"","1276","checking Estimator button functionality","chromium","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","2736","checking for myorders functional block","chromium","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","442","has title","chromium","2026-03-30","passed","2026-03-30","","loginModule.spec.js","",""
"","1224","Verify chat list or empty state","chromium","2026-03-30","passed","2026-03-30","","messgaes.spec.js","",""
"","1151","get started link","firefox","2026-03-25","passed","2026-03-25","","example.spec.js","",""
"","498","checking the copyright licence","chromium","2026-03-30","passed","2026-03-30","","loginModule.spec.js","",""
"","3511","Verify successful listing without description","chromium","2026-03-25","passed","2026-03-25","","sell.spec.js","",""
"","3045","only age entered","firefox","2026-03-25","passed","2026-03-25","","register.spec.js","",""
"","6263","Verify validation when only brand is provided","webkit","2026-03-25","passed","2026-03-25","","sell.spec.js","",""
"","1352","Verify direct URL navigation works","chromium","2026-03-30","passed","2026-03-30","","messgaes.spec.js","",""
"","0","checking with 3 details brandName,model and year for listing","chromium","2026-03-25","skipped","2026-03-25","","sell.spec.js","",""
"","1236","Verify chat page is visible","chromium","2026-03-30","passed","2026-03-30","","messgaes.spec.js","",""
"","1606","checking the copyright licence","firefox","2026-03-25","passed","2026-03-25","","loginModule.spec.js","",""
"","804","email and password only","chromium","2026-03-30","passed","2026-03-30","","register.spec.js","",""
"","520","Verify estimator page title","chromium","2026-03-30","passed","2026-03-30","","estimator.spec.js","",""
"","2849","fullname and age only","webkit","2026-03-25","passed","2026-03-25","","register.spec.js","",""
"","2407","email only validation","webkit","2026-03-25","passed","2026-03-25","","loginModule.spec.js","",""
"","4119","checking for the second sell bike button","firefox","2026-03-25","passed","2026-03-25","","dashboard.spec.js","",""
"","15732","Verify price estimation functionality for bike","webkit","2026-03-25","failed","2026-03-25","","sell.spec.js","",""
"","1434","Verify clicking bike opens details page","chromium","2026-03-30","passed","2026-03-30","","browsebike.spec.js","",""
"","2779","trying to register with only fullname","webkit","2026-03-25","passed","2026-03-25","","register.spec.js","",""
"","3449","checking Messages button functionality","firefox","2026-03-25","passed","2026-03-25","","dashboard.spec.js","",""
"","566","Verify contact page responsive","chromium","2026-03-30","passed","2026-03-30","","estimator.spec.js","",""
"","1203","Verify clicking multiple bikes works","chromium","2026-03-30","passed","2026-03-30","","browsebike.spec.js","",""
"","548","Verify contact page title","chromium","2026-03-30","passed","2026-03-30","","estimator.spec.js","",""
"","848","fullname and age only","chromium","2026-03-30","passed","2026-03-30","","register.spec.js","",""
"","0","checking with 4 details brandName,model,original price and year","chromium","2026-03-25","skipped","2026-03-25","","sell.spec.js","",""
"","4909","checking for myorders functional block","firefox","2026-03-25","passed","2026-03-25","","dashboard.spec.js","",""
"","329","has title","chromium","2026-03-30","passed","2026-03-30","","example.spec.js","",""
"","4933","checking for Active Chats functional block","webkit","2026-03-25","passed","2026-03-25","","dashboard.spec.js","",""
"","1296","Verify no console errors (basic)","chromium","2026-03-30","passed","2026-03-30","","messgaes.spec.js","",""
"","5867","Verify estimated price calculation without km driven","firefox","2026-03-25","passed","2026-03-25","","sell.spec.js","",""
"","0","invalid email and valid password","firefox","2026-03-25","skipped","2026-03-25","","loginModule.spec.js","",""
